Harvard University                ,Computer Science,David Malan            ,4.7,54,04/09/2009,GOOD   ,4  ,OVERALL QUALITY,4,LEVEL OF DIFFICULTY,CS75        ,,,For Credit:N/A ,Attendance: N/A          ,Textbook Used: No ,Would Take Again: N/A,Grade Received: N/A         ,                                                                        ,"Great class. He is a very good teacher. The course I have, cs75, is a lot of work, but you will learn a lot. I have not opinion on the hotness factor -- this is a lame part of this site. D. Malan is one of the better instructors out there."                                                                                                                 ,1 person found this useful 1 person did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                ,Computer Science,David Malan            ,4.7,54,06/05/2008,GOOD   ,3.5,OVERALL QUALITY,5,LEVEL OF DIFFICULTY,CSCIE75     ,,,For Credit:N/A ,Attendance: N/A          ,Textbook Used: No ,Would Take Again: N/A,Grade Received: N/A         ,                                                                        ,"This class is very useful class, but his TFs are not well trained to grade students' work. Be careful about final grade. Even though most of the assignments are good, but still C. He himself is very reasonable but his TFs are not good."                                                                                                                     ,0 people found this useful 2 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                ,Computer Science,David Malan            ,4.7,54,12/14/2003,AWESOME,5  ,OVERALL QUALITY,3,LEVEL OF DIFFICULTY,SIEL        ,,,For Credit:N/A ,Attendance: N/A          ,Textbook Used: N/A,Would Take Again: N/A,Grade Received: N/A         ,                                                                        ,Great guy! Great Summer! Best Computer Class ever!                                                                                                                                                                                                                                                                                                                ,1 person found this useful 1 person did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
University of California San Diego,Computer Science,William Griswold       ,3.8,9 ,10/04/2017,AWESOME,5  ,OVERALL QUALITY,4,LEVEL OF DIFFICULTY,CSE218      ,,,For Credit: Yes,Attendance: Mandatory    ,Textbook Used: No ,Would Take Again: Yes,Grade Received: N/A         ,INSPIRATIONAL-GET READY TO READ-RESPECTED                               ,Very engaging and dedicated in teaching. I didn't realize how useful cse218 was until I interned in the real industry. Highly recommend!                                                                                                                                                                                                                          ,2 people found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
University of California San Diego,Computer Science,William Griswold       ,3.8,9 ,11/07/2014,AWESOME,5  ,OVERALL QUALITY,2,LEVEL OF DIFFICULTY,CSE110      ,,,For Credit: Yes,Attendance: N/A          ,Textbook Used: Yes,Would Take Again: N/A,Grade Received: A-          ,INSPIRATIONAL-GROUP PROJECTS                                            ,"For CSE 110 : Software Engineering, great lecturer. Very clear, very helpful, and one of the few professors that seemed to care about his students' success. He seemed like genuine and pretty inspirational cheerleader at some parts in his lectures. Course was fair, except the final was a bit vague, but doable.. start on your group project early!!!"    ,7 people found this useful 7 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
University of Southern California ,Computer Science,Barry Boehm            ,3.8,11,10/06/2019,AWFUL  ,1  ,OVERALL QUALITY,2,LEVEL OF DIFFICULTY,CSCI510     ,,,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: Yes,Would Take Again: No ,Grade Received: N/A         ,                                                                        ,"Wow, this class was a complete waste of time. The lectures are literally presentations of the reading and nothing extra. The topics presented in class are dated and not even used in Industry. He has a clear schedule defined in the syllabus, but he can't stick to it. Would not recommend..."                                                               ,0 people found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
University of Southern California ,Computer Science,Barry Boehm            ,3.8,11,12/08/2018,AWFUL  ,1  ,OVERALL QUALITY,2,LEVEL OF DIFFICULTY,CSCI510     ,,,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: Yes,Would Take Again: No ,Grade Received: A           ,GET READY TO READ-RESPECTED                                             ,A nice person but not a great professor. Respected in the industry but his material is dated and has errors. Slow and boring lectures. Hardest part is staying awake and interested. Final had twice as many questions as midterms but we did not get more time (2h).                                                                                             ,7 people found this useful 2 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
University of Southern California ,Computer Science,Barry Boehm            ,3.8,11,06/13/2017,AWESOME,5  ,OVERALL QUALITY,3,LEVEL OF DIFFICULTY,CSCI577510  ,,,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: Yes,Would Take Again: Yes,Grade Received: A           ,AMAZING LECTURES-INSPIRATIONAL-RESPECTED                                ,Amazing insights that last beyond the class                                                                                                                                                                                                                                                                                                                       ,3 people found this useful 7 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
University of Southern California ,Computer Science,Barry Boehm            ,3.8,11,06/07/2015,AWESOME,5  ,OVERALL QUALITY,1,LEVEL OF DIFFICULTY,CSCI510     ,,,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: N/A,Grade Received: A+          ,AMAZING LECTURES-RESPECTED-INSPIRATIONAL                                ,"Best professor, ever. Definitely recommended."                                                                                                                                                                                                                                                                                                                   ,1 person found this useful 4 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
University of Southern California ,Computer Science,Barry Boehm            ,3.8,11,06/06/2014,GOOD   ,4  ,OVERALL QUALITY,2,LEVEL OF DIFFICULTY,CSCI510     ,,,For Credit: N/A,Attendance: Not Mandatory,Textbook Used: Yes,Would Take Again: N/A,Grade Received: N/A         ,                                                                        ,"Professor Boehm is very excellent and kind. If you have no software development experience, you may feel a little abstract to understand the lecture. But the lectures he given are very helpful and useful."                                                                                                                                                    ,0 people found this useful 3 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
University of Southern California ,Computer Science,Barry Boehm            ,3.8,11,12/16/2011,GOOD   ,3.5,OVERALL QUALITY,2,LEVEL OF DIFFICULTY,CSCI510     ,,,For Credit: N/A,Attendance: N/A          ,Textbook Used: Yes,Would Take Again: N/A,Grade Received: N/A         ,                                                                        ,A must for anyone in the aerospace industry. Professor Boehm has been in the aerospace industry since the 50?s and INVENTED many of the sw processes models. Course materiel a bit scattered through the semester and a lot of information. If you get all the points on homework?s and do OK on the test you should still be fine. Overall great class!          ,6 people found this useful 4 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
